asap0_id,asap0_name,hs_code,hs_name,comment,g1_w_crop,g1_w_range,g1_w_any,ISO3
120,Morocco,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0,MAR
121,Tunisia,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,2,2,TUN
122,Turkmenistan,1,Hotspot,"In Turkmenistan, harvest of summer crops (maize and rice, which are minor compared to wheat and cotton) started in August and, as for winter wheat, prospects are below average due to below average biomass of crops (including cotton) in all regions except Tashauz. As from mid March, total rainfall since October has been the lowest of the last 32 years, and the level of water reservoirs is clearly lower than in August 2022 (see the Hanhowuz Howdany (aka Khauz-Khan) reservoir in Mary https://agricultural-production-hotspots.ec.europa.eu/s/6a04eed6).",5,0,5,TKM
126,Philippines,0,No hotspot,"In the Philippines, summer is the season of tropical cyclones and this summer is no exception with various storms including Doksuri and Saola at end of July and August respectively. Localized damages to crops are difficult to estimate and overall, conditions of wet season rice to be harvested from September are average to above average for now.",3,0,3,PHL
128,Iran,0,No hotspot,"In Iran, harvest of winter wheat finalized in July and prospects are good in the western half of the country from Azarbayejan to Fars, except in northern Ardebil, average to below average in the centre (Hamedan, Esfahan, Markazi and Ghazvin) and poor in the northeast (mainly Golestan and Khorasan) which received the lowest seasonal rainfall in the last 32 years. In Mazandaran and Gilan, the main rice producing regions, as well as Khuzestan, prospects are favourable for rice to be harvested in September, while in Golestan the rice area has decreased as a result of lack of irrigation water (see comparison with 2020 for June - https://agricultural-production-hotspots.ec.europa.eu/s/0481ad99 and August - https://agricultural-production-hotspots.ec.europa.eu/s/0481ad99).",9,1,9,IRN
129,Namibia,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0,NAM
131,Gambia,0,No hotspot,"Rainfall conditions have been mixed in the last 30days, with above-average amounts in the last dekad of July and the first dekad of August, whereas well below-average rainfall was registered in the first dekad of August. Crop and rangeland conditions are average to slightly above-average across the country.",0,0,0,GMB
132,Cambodia,0,No hotspot,Prospects are favourable for wet season rice planted as from June (to October) thanks to above average crop biomass now in most regions.,3,7,9,KHM
133,Lesotho,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0,LSO
134,Viet Nam,0,No hotspot,"In the north, wet season rice is growing with about 20% less rainfall than usual in the last three months and some areas close to the coast (Ninh Binh, Nam Dinh, Ha Nam, Thai Binh) show below average crop biomass. In the south (Mekong delta), biomass of main season rice (to be harvested from August to October) is above average and prospects are favourable.",32,3,32,VNM
135,Cameroon,0,No hotspot,"Harvest of main season maize in the bimodal central and southern parts of the country has started in mid-August. Crop conditions in these areas have generally benefited by a timely onset of the rainy season and good seasonal rainfall amounts. Harvesting in the north is expected to begin in late September and crop conditions at the end of August are close to average. As a result an average main season production is expected. According to [https://fews.net/west-africa/cameroon/key-message-update/july-2023] FEWSNET (July 2023), in the Northwest (NW) and Southwest (SW) regions, «conflict-related restrictions on household access to farmlands, population displacements, and high input prices are limiting household food availability and access». Additionally, FEWSNET reports that production is expected to be below average in divisions of Far North region due to the impacts of the conflict.",2,1,3,CMR
140,Sri Lanka,0,No hotspot,Harvest of second season (Yala) rice and maize has started and above average crop biomass points towards favourable prospects.,1,0,1,LKA
141,South Africa,0,No hotspot,"In West Cape, the main wheat-producing area, winter wheat biomass conditions are above-average thanks to favourable weather conditions. In Northern Cape, which provides ca. 15% of the expected production, vegetation conditions are close to average. According to the [https://www.sagis.org.za/cec_reports_2023.html] 1st production forecast, total winter wheat production is expected at 2,141 mill. tons, increased by 8% compared to the 5-year average.",0,0,0,ZAF
142,Congo,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0,COG
148,Malawi,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0,MWI
150,Burundi,0,No hotspot,"Harvest of season B crops is completed in the country, which is now awaiting for season A under drier prospects ([https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast.php?sfreg=africa] C3S | Multimodel seasonal rainfall forecast maps). According to WPF ([https://reliefweb.int/attachments/e9980139-5db7-4905-bd1e-29ec698fe1eb/WFP%20Burundi%20Country%20Brief%20July%202023.pdf] WFP | Country Brief, Jul 23) ""the food availability survey shows a slight improvement on markets and in households, except for maize, which is harvested earlier in April"".",0,0,0,BDI
155,Nigeria,0,No hotspot,"Harvest of main season maize crop is underway in the southern bimodal areas and production prospects are good thanks to a timely onset of the rainy season and generally average to above-average precipitation conditions. In the north, which has only one rainy season, harvesting of coarse grains will start in September, and vegetation conditions are average to above-average. However vegetation anomalies are observed in Kebbi, Plateau and Adamawa (ca.30%-40% of active crop area is affected by a greenness anomaly). According to [https://www.fao.org/giews/reports/crop-prospects/en/] FAO Crop Prospects and Food Situation, July 2023, the total cereal output for 2023 is forecast at 30.5 million tons, slightly above the 5-year average. Rangeland conditions are average to above-average in the north, however access to pastoral resources in conflict affected areas remains constrained.",3,2,4,NGA
156,Somalia,1,Hotspot,"At the end of the Gu season in Somalia mixed results are confirmed, with close to normal greenness patterns in the rain-fed sorghum production areas of Bay and Gedo, but with a very short crop cycle due to early rainfall cessation across most of Lower Shabelle and Middle Juba regions. No significant off-season planted areas are visible at this stage. Crop conditions in the North West are generally above average during the main season, though the last part of the season has been characterized by high temperatures. Natural vegetation conditions in most of Southern and Central Somalia are below average, indicating that rangelands are facing early vegetation depletion after a short improvement at the beginning of the season. IPC Post Gu assessments in the country are currently underway.",3,3,5,SOM
157,D.R. Congo,1,Hotspot,"Planting of cassava (north) and maize (centre/main) is starting under below-average rainfall conditions. Severe water deficit is recorded in Kasai-Central (100% of the active crop area), Tanganyika (79%) and Maniema (77%); rangeland in Kwango is currently in poor vegetation status (39% of the area). Violence and insecurity are posing severe concern in the East. According to DG ECHO ([https://erccportal.jrc.ec.europa.eu/Countries#/country-profile/COD] ECHO Flash | DRC) protected sites, including health centres, were attacked by non-state armed actor ADF in the village of Luna-Samboko, in Ituri’s Irumu territory, on 19 August. 33 people were reportedly killed, including women and children. There are around 6.1 million IDPs in total in the DRC, the highest number in Africa.",8,2,9,
160,Liberia,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0,LBR
161,North Korea,0,No hotspot,"In North Korea, maize harvest has started while rice will be harvested in September – October. Crop biomass is well above average as a result of good rainfall and production prospects are very good.",1,0,1,PRK
163,Kenya,0,No hotspot,"Close to harvest long rains season crops in the main producing areas of Western and Central Kenya have generally performed well and low yields are expected only in a few southern counties including Kajiado and Taita Taveta, which experienced below average vegetation conditions throughout the season. Similarly to crops, rangelands have also experienced generally favourable conditions throughout the season. However, mainly due to above average temperatures since July, a rapid vegetation depletion is visible in the central and western ASALs which are currently in the dry season. Between July and September 2023 about 2.8 million people in Kenya’s Arid and Semi-Arid Lands (ASALs) are classified in IPC Phase 3 or above (Crisis or worse). Among them 2.3 million are experiencing Crisis, IPC Phase 3, and nearly 500,000 are in IPC Phase 4, Emergency. This shows an improvement due to the previous assessment.",5,2,6,KEN
164,Yemen,1,Hotspot,"In Yemen, prospects for sorghum and wheat to be harvested in September in most regions are very good thanks to well above average crop biomass across the country, as a result of very good rainfall from March to May in most regions; however this rainfall also caused localized flash floods that resulted in casualties and damage to infrastructure (https://floodlist.com/?s=yemen&amp;submit=). Food insecurity continues to affect 17 out of 30 million people (in IPC phase 3 or above) as a result of the conflict and socio economic conditions (cf. https://www.wfp.org/emergencies/yemen-emergency).",6,1,7,YEM
165,Timor-Leste,0,No hotspot,Harvest of off season maize has started with close to average prospects while irrigated off season rice planting is underway under close to average conditions.,0,0,0,TLS
168,Sierra Leone,0,No hotspot,"Planting of minor coarse grains (sorghum. millet, maize) finalized in June (for sorghum) and July (for millet, maize). Planting of rice, the main cereal grown in the country, was completed at the end of July. The 90day cumulative rainfall amounts have been well above-average across most parts of the country benefiting crop development and pasture regeneration. At mid-August both crop and rangeland conditions are well above-average.",0,0,0,SLE
176,Libya,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0,LBY
179,Rwanda,0,No hotspot,"Harvest of season B crops is completed while season A planting is about to start. Despite being off-season, the country is currently experiencing a dry spell; most of the districts have received a poor amount of rainfall in the last 30 days if compared to the long-term average, with peaks in Bugesera (-57%), Gigasara (-48%) and Nyarugenge (-72%). According to WFP ([https://reliefweb.int/attachments/7d39a833-246f-443a-9fba-da96bfc406c9/WFP%20Rwanda%20Country%20Brief%20July%202023.pdf] WFP | Country Brief, Jul 23), ""the average cost of the monthly food basket per person in July was 13,404 RWF, a 2.5 percent decrease overall from June 2023 (13,749 RWF)"".",0,4,4,RWA
180,Guinea-Bissau,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0,GNB
183,Indonesia,0,No hotspot,"Biomass of irrigated dry season rice is close to average in Java, the main rice producer island with 50% of the national production of cereals, despite low rainfall in the last 3 months (60% of the average rainfall was received). The situation (rainfall and crop biomass) is slightly more favourable in Sumatera and Sulawesi, and overall prospects are close to average for dry season rice harvested from July to October.",0,0,0,IDN
185,Ethiopia,1,Hotspot,"In late July and early August, main season rainfall distribution has been mixed in Ethiopia, with deficits of up to 30% in Afar, Tigray and in the Rift Valley areas. Temperatures in the same period have also been above average. Meher crop conditions appear still in close to average conditions due to a generally timely onset and good early development stages, but improved rainfall in September will be key for fair crop growth and yields. Unfortunately, the Copernicus Multi-model forecast for September shows a high probability for below average rainfall. In August heavy fighting has spread across Amhara and several sources are speaking about a new civil war in the country. This would have major impacts on some of the most productive area and also put at risk food security for a large part of the population. According to [https://fews.net/sites/default/files/2023-08/FAOB_August 2023_Final_0.pdf] FEWSNET, in August 2023, between 19 and 20 million people are in need of humanitarian food assistance.",21,24,31,ETH
188,Kazakhstan,0,No hotspot,"In northern Kazakhstan, prospects for spring wheat are below average as a result of below average crop biomass in the eastern half of Severo and Akmolin, and despite close to average crop biomass in Kustanay. This situation is due to irregular and low rainfall since end of April, especially in Severo and Akmolin, combined with above average temperatures in early June and since July. In southern Kazakhstan, where rainfall has also been irregular and low since March, harvest of winter wheat finalized in August and prospects are mixed: close to average in Yujno K. probably thanks to irrigation, and below average in Jambylskaya and Almatinskaya.",8,7,8,KAZ
189,Thailand,0,No hotspot,"Wet season rice was planted later than usual due to a drier and warmer than average start of the monsoon season but thanks to irrigation rice biomass is now above average except in some regions of the north (Nakon Sawan, Phitsanulok, Lopburi and Uttaradit) and parts of the west (Nakhon R.) where farmers have delayed their decision to plant rice (see e.g. Phitsanulok, https://agricultural-production-hotspots.ec.europa.eu/s/a20fe11d and Lopburi, https://agricultural-production-hotspots.ec.europa.eu/s/9bbcbb21 with a much reduced extent of lake Pasak Chonlasit with respect to August 2022). Due to the reduced rice area, wet season rice production is expected to decrease with respect to previous year.",32,0,32,THA
190,Nepal,0,No hotspot,Harvest of maize started in August while rice is in vegetative phase and prospects for both crops are close to average.,3,5,5,NPL
192,Colombia,0,No hotspot,"Main and minor cycles of maize and rice entered the harvest and sowing stage respectively. Average and above average yields can be expected given normal to above normal rainfall received in most crop and pasture areas throughout the main cycle, and given vegetation observed condition which is average to above average in about 95% of the active areas. Start of minor cycles of rice and maize starting in August could be delayed due to dryer conditions expected at least until end of October ([https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast/monthly-precipitation/forecast/monthly-percentile-probability-plot/multimod-2023_2023_08_2-3-south_america.png] Copernicus C3S Multimodel).",3,3,4,COL
193,Guinea,0,No hotspot,"Planting of coarse grains crops (maize, millet and sorghum) was completed in June, while planting operations of rice, the most important crop produced in the country, are about to conclude. Vegetation conditions are average to above-average thanks to the generally good rainfall amounts received since the start of the season in May. A rainfall deficit is observed in Kankan, which received ca.30% below-average rainfall in the last month. Good rangeland conditions are observed in all provinces. However, a rainfall deficit is affecting the eastern part of the country (Kankan ,Faranah, Nzerekore) with no visible impact on rangeland biomass conditions.",3,3,3,GIN
195,Benin,1,Hotspot,"Harvest of first season maize crop is ongoing in the southern parts of the country and prospects are favourable as cumulative rainfall was average to above-average benefiting crop development. In the north, which has only one rainy season, planting of coarse grains was concluded in July. Below-average vegetation conditions are observed in the northern provinces of Atakora and Alibori, where ca. 50%-80% of active crop area is affected by a greenness anomaly. The poor crop conditions might be attributed to the protracted security and humanitarian crises in the Central Sahel, and notably Burkina Faso, that is expanding geographically and increasingly impacting the northern regions of coastal countries in the Gulf of Guinea (GoG): Benin, Côte d’Ivoire, Ghana and Togo ([https://reliefweb.int/report/benin/wfp-gulf-guinea-response-benin-cote-divoire-ghana-and-togo-external-situation-report-02-august-2023] WFP-Situation report N.02).",3,0,3,BEN
196,Equat.Guinea,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0,
199,Pakistan,0,No hotspot,"In Pakistan, rainfall has been irregular in the last month (above average at end of July and low in the first two dekads of August), but biomass of Kharif crops (maize, rice) to be harvested as from mid September is above average pointing towards favourable prospects. In Punjab, river Sutlej (at the north east border with India) went out of its bed and the flood displaced about 100,000 people according to https://www.gdacs.org/report.aspx?eventid=1102192&amp;episodeid=1&amp;eventtype=FL. (see the flood extent on S1 data at https://agricultural-production-hotspots.ec.europa.eu/s/305b48d4).",0,0,0,PAK
206,Peru,0,No hotspot,"Harvest of rice (main) and white maize concluded this month, while that of yellow maize should be ongoing. In this same month the sowing of white maize normally starts. Harvests in this period have good prospects thanks to normal rainfall received throughout the cycle of these crops in about 90% of the active cropping areas. The vegetation stage of potatoes should conclude, and the crop is normally ready for harvest before the end of the month. Sowing of yellow-maize (minor) and sorghum normally continues in this month. The rainfall in croplands has been normal in the 30 days before August 20th in nearly all the cropping areas. And vegetation conditions are normal or above normal in more than 95% of the cropland. This suggests normal development of the ongoing sowing campaigns and normal prospects for the potatoes harvest. Below normal rainfall is expected until the end of October in nearly all departments except in some coastal areas and the Southeastern part ([https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast/monthly-precipitation/forecast/monthly-percentile-probability-plot/multimod-2023_2023_08_2-3-south_america.png] Copernicus C3S Multimodel). This could cause problems in the sowing of the minor cycle of yellow maize which usually continues until the end of October.",2,1,3,PER
209,Uganda,0,No hotspot,"First season crop conditions were generally good while in the current dry season, vegetation conditions appear below average driven by a hot and dry month of August and leading to early deterioration of pastoral vegetation. IPC estimates for April – August, 2023, which corresponds to the lean season, show that in the Karamoja region, 582,000 people are in IPC Phase 3 or above. Among these, 102,000 people are in IPC Phase 4 (Emergency), while 480,000 people are in IPC Phase 3 (Crisis).",2,5,5,UGA
210,Eswatini,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0,SWZ
212,Chad,0,No hotspot,"Above-average rains in the last 30-days supported crop and pastoral development across the country. Slightly below-average crop biomass conditions are observed in the southern regions of Logone Occidental, Logone Oriental and Mandoul, where ca.30%-40% of active crop area is affected by a greenness anomaly. According to [https://www.fao.org/giews/countrybrief/country.jsp?code=TCD] FAO (August 2023), «the lack of agricultural equipment and inputs led to a reduction in cultivated area in Logone Oriental and Mandoul regions. Furthermore, insecurity in Lac Region and conflicts between farmers and herders in southern areas are likely to cause localized production shortfalls». The [https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast.php?sfreg=africa] Copernicus C3S Multimodel seasonal rainfall forecast for September 2023 points to normal rainfall conditions across the country. However, for the same period the forecast points to drier-than-average conditions across the southern part of the country. According to [https://www.fao.org/giews/reports/crop-prospects/en/] FAO Crop Prospects and Food Situation (July 2023), the total cereal output for 2023 is forecast at 2.8 million tons, slightly above the 5-year average.",3,0,3,TCD
218,Zimbabwe,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0,ZWE
219,Burkina Faso,1,Hotspot,"Main season sorghum, maize and millet development is underway and conditions are mixed. Below-average biomass conditions are observed in the regions of Boucle Mouhoun, Centre-ouest, Centre-est and Est, where ca. 30%-40% of active crop area is affected by a greenness anomaly. In the northern part of the country (Sahel, Centre-nord), crop biomass conditions are above-average. According to [https://drive.google.com/file/d/1iFc8ZeA3_9kpq6K44ntrc1Kh-tyDj_jp/view] Afrique Verte, the difficulty to access agricultural inputs such as improved seeds and particularly fertilizers due to very high prices could affect yields. Additionally, the security context has led to the abandonment of cultivable land in certain localities. Moreover, as conflict escalates and increasingly targets civilians, supply roads, critical infrastructures and humanitarian workers, the humanitarian space is severely constrained and access to millions of people in need hampered by ambushes, IEDs and other impediments ([https://erccportal.jrc.ec.europa.eu/ECHO-Products/Echo-Flash#/echo-flash-items?pageIndex=1&amp;pageSize=10&amp;st=Published&amp;c=BFA] ECHO Daily Flash-14/08). Rangeland conditions are generally good across the country, except for Plateau Central, where ca. 30% of active rangeland area is affected by a greenness anomaly.",7,1,7,BFA
221,Syrian A.R.,1,Hotspot,"In Syria, harvest of winter cereals finalized in July and prospects are above average in the north west (Aleppo and Raqqa) and the centre and close to average in Hassakeh, where cereals seem to have recovered from a poor start of season characterized by low and irregular rainfall from December to February. Irrigated summer crops are now growing under favourable conditions (e.g. see Aleppo https://agricultural-production-hotspots.ec.europa.eu/s/38c8ba55 and Raqqa https://agricultural-production-hotspots.ec.europa.eu/s/8741c9a0). Food insecurity remains high with about 12 million people in need of food assistance (for a total population of 21 million) as a result of the conflict and the economic crisis (high food and fuel prices) according to WFP.",0,0,0,
13,Kyrgyzstan,0,No hotspot,Harvest of winter cereals is nearing completion with below average prospects due to below average biomass possibly resulting from irregular and low rainfall since December combined with a sudden cold wave in mid-January.,5,7,7,KGZ
20,Bangladesh,0,No hotspot,Harvest of pre-monsoon aus rice (10% of the total rice production) is underway with close to average prospects while rainfed aman rice is growing under favourable (although below average) moisture conditions.,5,4,5,BGD
27,Tajikistan,0,No hotspot,"Harvest of winter wheat is nearing completion with good prospects thanks to above average crops biomass due to irrigation. Rainfall has been below average since March, and there is concern for pastures and summer crops growth.",2,3,4,TJK
29,Sudan,2,Major hotspot,"Rain-fed areas across the country have generally continued to receive close to average rainfall in July favouring early crop stages, whereas the last two dekads have been characterized by high temperatures. Corpenicus multi-model forecast for Aug-Sep shows a high likelihood of close to normal rains and have improved as compared with earlier forecasts. However, there are concerns that the ongoing conflict will continue to hamper agricultural activities during the ongoing crop season due to insecurity and limited access to farming inputs caused by transport problems linked to the conflict. 
According to the just released IPC updates valid for July-September 2023, 20.3 million people (representing over 42 percent of the country’s population) are classified in IPC Phase 3 or worse. Among these, 14 million people are in Crisis (IPC Phase 3), and 6.3 million people are in Emergency (IPC Phase 4). The numbers have nearly doubled compared to figures in May 2022, and are driven mainly by conflict and economic decline.",1,0,1,SDN
33,Mozambique,0,No hotspot,"The main cereal season has ended in the country and total cereal production is forecast close to the 5-year average ([https://www.fao.org/giews/reports/crop-prospects/en/] FAO (Crop Prospects and Food Situation, July 2023)). However, production shortfalls are expected in the areas that lost croplands due to flooding.",0,0,0,MOZ
35,Cuba,0,No hotspot,"Main cycle of maize and sweet potatoes normally continues the sowing stage in this month. The harvest of the main cycle of rice should be ongoing. In the three months prior to July 20th, rainfall has been average or above average in nearly 90% of the croplands. In the beginning of June, heavy flooding affected the eastern provinces of Granma, Las Tunas, Santiago de Cuba and Camaguey (Floodlist June 2023), where normally more than 40% of the cereal production is concentrated. This may have affected harvesting and sowing operations in these areas. By July 20th vegetation conditions appeared normal and above normal in all crop areas. The Copernicus C3S Multimodel forecasts above normal rainfall until the end of August in all the country.",4,3,4,CUB
41,Laos,0,No hotspot,Wet season rice in early vegetative stage is in good conditions (with above average biomass) under slightly below average moisture conditions.,14,3,14,LAO
43,Djibouti,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0,DJI
50,Uzbekistan,0,No hotspot,"Harvest of winter wheat is nearing completion with good prospects for all regions (as suggested by above average biomass) except in Kashkadarya in the south west, in a context of below average rainfall in most regions since March (actually the total rainfall from November to July is the lowest or one of the lowest of the last 32 seasons) and above average temperatures since February-March. These temperatures have boosted the crops cycle, probably helping to save the harvest, together with irrigation. As a result, the dry conditions affecting Central Asia since March apparently did not impact winter cereals (except in Kashkadarya) but growth of summer crops now appears to be delayed.",13,0,13,UZB
51,Madagascar,1,Hotspot,"Madagascar is off season till October, except for places where secondary rice is planted and in some parts of Boeny and Betsiboka in the northwest where crops were sown later than usual. In the Grand South (Atsimo Andrefana, Androy and Anosy), after 3 seasons of poor harvest, cereals production is expected close to or above average thanks to good, although sometimes irregular, rainfall during the season. In the region, about 1.5 million people are still in need food assistance according to WFP.",1,0,1,MDG
52,El Salvador,0,No hotspot,"Primera cycle crops (beans and maize) normally are in vegetation stage in this month. Rainfall in the 30 days before July 20th, was above normal in all cropping areas. However, the deficits accumulated in the previous months of the rainy season, together with high production costs have caused delays in the in the sowing of Primera cycle (FAO GIEWS June 2023). This is reflected in the observed conditions of croplands, where 23% of the surface show poor to very poor vegetation condition. Very poor households in Eastern El Salvador will experience IPC Phase 3 conditions in the period June – September due to high price levels and previous shocks (FEWSNET May 2023).",4,4,4,SLV
59,Mali,0,No hotspot,"Planting of the main rainy season (maize, millet and sorghum) is almost finished in the southern part of the country, whereas rice planting is ongoing in northern parts of the country. Cumulative rainfall in the last 90days has been average to above-avergae in most parts, benefiting crop development. The [https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast.php?sfreg=africa] Copernicus C3S Multimodel seasonal rainfall forecast for August 2023 period indicates a slight tilt in the odds to favor above-average rainfall across the country. According to [https://fews.net/node/30139] FEWSNET (July 2023), «cereal production forecasts are up by 8.8% compared to the 5-year average according to the 2023/2024 campaign plan (National Directorate of Agriculture). However, in insecure areas, particularly in the Center and North of the country, disruptions in agro-pastoral activities will reduce the level of agricultural production». Rangeland conditions are average to above-average across the country.",0,1,1,MLI
61,C. African Rep.,1,Hotspot,"Crop biomass and rainfall are in average or above average in the country, favouring the progress of maize, sorghum, millet and rice growing season. However, access to basic services such as water and healthcare is currently very poor, while food insecurity is among the most severe in the country ([https://reliefweb.int/report/central-african-republic/central-african-republic-situation-report-21-july-2023] CAR Situation Report | OCHA). According to [https://reliefweb.int/report/central-african-republic/central-african-republic-situation-report-21-july-2023] OCHA, with 50 per cent of the population not eating enough, CAR has currently one of the highest proportions of critically food-insecure people in the world.",0,1,1,
66,Ghana,0,No hotspot,"In the southern part of the country, the progress of the main season maize crop, to be harvested in August, is generally good thanks to beneficial cumulative rainfall amounts since the start of the season in March that supported crop development. In the northern monomodal parts, crop conditions of rice, millet and sorghum are also good except for Northern region, where ca. 30% of active crop area is affected by a greenness anomaly. Pasture biomass conditions in the main grazing areas of the north and center of the country are average to above-average.",1,0,1,GHA
67,Afghanistan,1,Hotspot,"In Afghanistan, harvest of spring wheat is nearing completion, in advance with respect to the average calendar due to above average temperatures, and, as for winter wheat, prospects are mixed: below average in the north-west (particularly in Jawzjan) and north (from Faryab to Baghlan) due to poor rainfall since January (with the exception of February); close to average in the south (Hilmand, Kandahar) and above average in the eastern half of the country (from Kunduz in the north, thanks to irrigation, to Ghazni and Paktika in the south-east) thanks to better rainfall since March than in the north and west. The rainfall deficit across the country combined with limited irrigation capacity seems now to hinder summer crops growth, except in the south-east. Afghanistan continues to face unprecedented levels of hunger with 15 million people estimated in acute food insecurity (IPC phase 3 or above) as a result of a severe economic and social crisis.",19,14,23,AFG
68,Haiti,1,Hotspot,"Harvest of maize (main season) continued this month. Rice (main), sorghum and maize (second) continued in sowing stage. By July 20th, all cropping areas benefited from normal rainfall in the previous 30 days, except for some areas in the Centre department. Vegetation conditions are normal to good in about 85% of the crop areas. Wetter than normal conditions are expected for August and September benefiting crops currently in the sowing stage (Copernicus C3S Multimodel). The country experienced record high levels of acute food insecurity at least until the end of June, with about half of the population classified in IPC Phase 3 or worse (IPC Partners March 2023) .",0,0,0,HTI
74,Tanzania,0,No hotspot,"Harvesting of the bimodal Masika (sorghum, millet and maize) and unimodal Msimu (sorghum, rice and maize) crops is underway in the northern, northeastern, coastal and central-southern areas respectively. Sufficient rainfall in quantity and distribution has been recorded in the northern and northeastern regions, where good crop yields are expected. In contrast, in coastal areas, rainfall for most of the growing season was below average, with the exception of some heavy rains in late April and early May, accounting for almost half of the cumulative seasonal rainfall ([https://www.fao.org/giews/countrybrief/country.jsp?code=TZA] Country Brief | FAO). This erratic weather behaviour has caused water and biomass ASAP warning in Tanga, Kilimanjaro, Arusha and Pwani regions. According to the latest FAO quarterly global report, ([https://www.fao.org/giews/reports/crop-prospects/en/] Crop Prospects and Food Situation | FAO) 10.6 million tonnes of total cereal production is forecasted in the country for 2023 (+4.5% against 2022). However, as consequence of tight domestic availability compounded by a fast depletion of stocks after the reduced 2022 production, wholesale prices of maize remain at high levels, around 1000 Tanzanian shilling per Kg.",0,0,0,TZA
77,Botswana,0,No hotspot,"The main cereal season has ended in the country and maize production is forecast close to the 5-year average, whereas sorghum production ca. 22% below the 5-year average ([https://ipad.fas.usda.gov/countrysummary/default.aspx?id=BC] USDA). Rangelands have benefited from the good rainfall conditions and an increase in livestock production is expected in 2023 reflecting the good pasture conditions.",0,0,0,BWA
78,Iraq,0,No hotspot,"In Iraq, harvest of winter cereals finalized in July and production prospects are above average in the whole country thanks to above average rainfall over most regions since November. Only in the southern half of Ninewa, the main cereals producing governorate, is rainfed cereals production expected below average as a result of the dry conditions from December to February. As regards rice, its cultivation has been banned again as in 2018 and 2022 on a large part of Najaf and Qadissiya, the two main rice producing governorates, to save water for cities (see https://www.ruptly.tv/en/videos/20230605-033-Iraq-They-must-find-a-solution-Rice-farmers-face-crippling-drought-in-Diwaniyah).",1,0,1,IRQ
79,Egypt,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,4,0,4,EGY
80,Niger,0,No hotspot,"Planting of sorghum and millet crop is ongoing in the country under average conditions. Cumulative rainfall in June and the first dekad of July was average across the country, however in the second dekad of July a 10day rainfall deficit affected Dosso, Tillabery, Maradi and Zinder but without repercussions on vegetation conditions. Below-average crop conditions are observed in the region of Tahoua (where ca. 30% of active crop area is being affected by a greenness anomaly), however it is still early in the season and there is room for recovery. According to [https://reliefweb.int/report/mali/point-sur-la-situation-alimentaire-au-sahel-psa-bulletin-mensuel-dinformation-sur-le-prix-des-cereales-niger-mali-burkina-faso-suivi-de-campagne-ndeg-267-juillet-2023-0] Afrique Verte, «in the livestock sector, the situation is marked by an improvement in the vegetation cover following the recorded rains, however, some areas with high grazing potential are still inaccessible due to insecurity, hence the concentration of animals in relatively secure areas». Additionally, the [https://reliefweb.int/report/mali/point-sur-la-situation-alimentaire-au-sahel-psa-bulletin-mensuel-dinformation-sur-le-prix-des-cereales-niger-mali-burkina-faso-suivi-de-campagne-ndeg-267-juillet-2023-0] Afrique Verte reports that the phenomenon of cattle theft remains a major source of concern for agro-pastoralists, particularly along the border with Mali and Burkina. Below-average rangeland conditions are observed in the region of Maradi (where ca. 30% of active rangeland area is being affected by a greenness anomaly). The [https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast.php?sfreg=africa] Copernicus C3S Multimodel seasonal rainfall forecast for August 2023 indicates a slight tilt in the odds to favor above-average rainfall across the country. According to [https://fews.net/node/30148] FEWSNET (July 2023), food insecurity is still observed in the country, with the regions of Tillabéry, Tahoua, Diffa and Maradi facing Crisis outcomes (IPC Phase 3).",1,1,2,NER
81,Myanmar,0,No hotspot,Planting and early growth of main season rice is underway under slightly below average rainfall conditions.,5,0,5,MMR
82,Senegal,0,No hotspot,"Planting of coarse grains (maize, millet and sorghum) is expected to be finalized by the end of July, whereas planting of rice will continue until the end of August. Crop conditions across the country are close to normal thanks to the average to above-average rainfall received in the last month. Slightly below-average crop conditions are observed in two regions, Kaffrine and Kolda but it is still early in the season and there is time for improvement. The [https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast.php?sfreg=africa] Copernicus C3S Multimodel seasonal rainfall forecast for August 2023 indicates a slight tilt in the odds to favor above-average rainfall across the country.",2,0,2,SEN
